timestamp,event_duration_s,peak_order,peak_feedback,max_error,rms_error,mean_stress,avg_weight,is_loaded
2026-02-24 18:10:23,43.0,5999,4585,5780,1230.8,307.5,0.4,0
2026-02-24 18:10:23,ARMGC_246,43.0,5999,4590,5737,1194.14,297.72,14084.66,0.4,0
2026-02-24 18:10:26,ARMGC_246,2.28,199,264,72,34.42,29.2,81.54,0.3,0
2026-02-24 18:10:26,2.37,199,264,72,36.7,30.46,0.2,0
2026-02-24 18:12:13,ARMGC_212,25.63,3280,3408,3314,973.12,273.07,7922.09,-1.1,0
2026-02-24 18:12:15,ARMGC_212,2.48,199,314,151,70.31,52.48,109.84,-1.0,0
2026-02-24 18:13:32,ARMGC_212,65.05,8038,7813,8092,1671.39,374.07,23615.45,-0.8,0
2026-02-24 18:13:35,ARMGC_212,2.7,199,292,101,43.46,33.99,85.18,-0.9,0
2026-02-24 18:17:00,ARMGC_212,24.14,2682,2794,2682,821.36,249.12,6039.07,-1.7,0
2026-02-24 18:17:46,45.43,3999,4182,4016,1017.83,262.99,1.9,0
2026-02-24 18:17:46,ARMGC_246,45.34,3999,4188,4022,975.45,250.37,11900.11,1.9,0
2026-02-24 18:19:10,9.61,5999,5838,5999,3516.61,1648.54,47.2,0
2026-02-24 18:19:10,ARMGC_246,9.52,5999,5819,5982,3413.88,1582.38,35302.89,47.2,0
2026-02-24 18:19:31,17.77,4204,4019,2369,628.36,240.34,46.1,0
2026-02-24 18:19:31,ARMGC_246,17.77,4204,4019,2341,601.86,232.24,20889.05,46.1,0
2026-02-24 18:21:31,47.75,5999,1119,5979,785.3,95.86,2.0,0
2026-02-24 18:21:31,ARMGC_246,47.75,5999,1119,5973,735.92,88.27,3244.77,2.0,0
2026-02-24 18:22:10,ARMGC_246,28.43,999,1167,999,227.68,70.21,2854.76,2.0,0
2026-02-24 18:22:17,ARMGC_246,3.68,199,200,131,49.28,34.46,135.92,2.0,0
2026-02-24 18:22:17,3.8,199,196,126,47.3,33.09,2.0,0
2026-02-24 18:23:14,ARMGC_212,28.33,3290,3454,3311,926.4,258.89,6784.89,-2.6,0
2026-02-24 18:23:46,ARMGC_246,9.82,5999,5781,6006,3486.09,1619.65,35776.12,45.6,0
2026-02-24 18:23:46,9.43,5999,5755,5974,3371.05,1554.59,45.5,0
2026-02-24 18:24:05,15.46,4170,3931,2451,708.62,276.3,44.8,0
2026-02-24 18:24:05,ARMGC_246,15.55,4202,3949,2448,700.42,272.44,20404.29,44.8,0
2026-02-24 18:24:07,ARMGC_246,2.68,199,311,150,68.13,53.79,656.58,44.8,0
2026-02-24 18:24:07,2.79,199,312,156,74.32,57.12,44.8,0
2026-02-24 18:27:23,12.86,5999,5708,6002,2912.69,1168.69,0.7,0
2026-02-24 18:27:23,ARMGC_246,13.34,5999,5704,6012,3001.09,1209.98,10722.29,0.7,0
2026-02-24 18:27:46,ARMGC_246,12.45,3113,2877,2991,963.7,372.97,5815.74,0.8,0
2026-02-24 18:27:50,2.48,199,216,145,74.5,55.04,0.8,0
2026-02-24 18:27:51,ARMGC_246,3.5,199,216,147,64.83,44.77,120.88,1.0,0
2026-02-24 18:28:45,ARMGC_212,64.73,4231,4224,4191,858.23,166.71,10131.84,-1.1,0
2026-02-24 18:29:23,9.22,5999,5863,6006,3527.34,1669.3,47.3,0
2026-02-24 18:29:23,ARMGC_246,9.22,5999,5863,5976,3472.08,1630.59,35014.48,47.3,0
2026-02-24 18:29:41,ARMGC_246,15.55,4192,3980,2347,672.16,265.64,20609.27,46.7,0
